onset	duration	trial_type	response_time
4.209493	1.045297	guess_face	1.045297
7.563042	1.008402	outcome_stranger_punish	n/a
9.585596	0.635401	guess_computer	0.635401
12.938331	1.006984	outcome_computer_reward	n/a
17.948708	0.522807	guess_computer	0.522807
21.302170	1.007416	outcome_computer_punish	n/a
25.313889	0.623920	guess_computer	0.623920
28.666412	1.006255	outcome_computer_reward	n/a
32.676662	0.528632	guess_computer	0.528632
36.879486	1.005676	outcome_computer_punish	n/a
40.082867	0.738992	guess_face	0.738992
45.136723	1.006247	outcome_stranger_reward	n/a
47.348343	0.622962	guess_face	0.622962
52.400925	1.006859	outcome_stranger_neutral	n/a
57.613370	0.725115	guess_face	0.725115
61.816086	1.006524	outcome_stranger_reward	n/a
64.827800	0.727582	guess_computer	0.727582
69.881580	1.006436	outcome_computer_reward	n/a
73.892070	0.530362	guess_computer	0.530362
78.944210	1.016470	outcome_computer_neutral	n/a
81.964900	0.623318	guess_computer	0.623318
87.017140	1.005750	outcome_computer_reward	n/a
92.026240	0.729265	guess_computer	0.729265
97.079460	1.005090	outcome_computer_punish	n/a
101.283240	0.622904	guess_face	0.622904
104.636090	1.003530	outcome_stranger_punish	n/a
108.645590	0.727038	guess_computer	0.727038
113.698700	1.005100	outcome_computer_punish	n/a
118.910110	1.045932	guess_face	1.045932
123.963320	1.013750	outcome_stranger_reward	n/a
127.982830	0.623421	guess_computer	0.623421
132.184950	1.005710	outcome_computer_punish	n/a
134.409200	0.930997	guess_face	0.930997
138.612670	1.005250	outcome_stranger_neutral	n/a
141.622960	0.632953	guess_computer	0.632953
146.675890	1.004820	outcome_computer_punish	n/a
149.887240	1.035692	guess_face	1.035692
154.090470	1.015200	outcome_stranger_reward	n/a
156.112150	0.727414	guess_computer	0.727414
159.465100	1.004610	outcome_computer_reward	n/a
163.685820	0.636661	guess_face	0.636661
167.888300	1.006400	outcome_stranger_punish	n/a
169.899690	0.523280	guess_computer	0.523280
174.102510	1.004410	outcome_computer_punish	n/a
178.314640	0.725326	guess_face	0.725326
183.367940	1.012720	outcome_stranger_neutral	n/a
188.385040	0.623198	guess_computer	0.623198
191.737500	1.005070	outcome_computer_punish	n/a
195.953580	0.736372	guess_face	0.736372
199.305900	1.005300	outcome_stranger_neutral	n/a
201.522660	0.633617	guess_face	0.633617
206.575790	1.004470	outcome_stranger_punish	n/a
211.585530	1.037883	guess_computer	1.037883
215.789300	1.012500	outcome_computer_neutral	n/a
218.805730	0.634039	guess_computer	0.634039
223.858400	1.004900	outcome_computer_reward	n/a
226.866360	0.725294	guess_computer	0.725294
230.219680	1.004470	outcome_computer_neutral	n/a
235.441820	0.631368	guess_face	0.631368
238.793640	1.004880	outcome_stranger_reward	n/a
244.010880	0.729570	guess_face	0.729570
247.364400	1.004950	outcome_stranger_punish	n/a
252.579850	0.626825	guess_face	0.626825
255.932950	1.016450	outcome_stranger_reward	n/a
258.954650	0.635584	guess_computer	0.635584
264.007350	1.005410	outcome_computer_punish	n/a
269.227870	0.729505	guess_face	0.729505
272.580570	1.004130	outcome_stranger_punish	n/a
276.800140	0.724903	guess_face	0.724903
280.153720	1.003810	outcome_stranger_punish	n/a
282.162170	1.145429	guess_computer	1.145429
285.515260	1.005190	outcome_computer_reward	n/a
289.523440	0.834548	guess_computer	0.834548
294.576420	1.013360	outcome_computer_punish	n/a
299.800660	0.840515	guess_face	0.840515
304.004330	1.005500	outcome_stranger_neutral	n/a
309.014400	0.626370	guess_computer	0.626370
312.366940	1.005220	outcome_computer_reward	n/a
314.376040	2.282042	guess_computer	2.282042
318.578300	1.005260	outcome_computer_neutral	n/a
321.799200	0.742562	guess_face	0.742562
326.002500	1.012850	outcome_stranger_reward	n/a
331.239260	0.735704	guess_face	0.735704
336.292970	1.005310	outcome_stranger_punish	n/a
339.507900	0.733922	guess_face	0.733922
342.861970	1.004580	outcome_stranger_reward	n/a
345.871670	0.636064	guess_computer	0.636064
350.074200	1.005100	outcome_computer_punish	n/a
352.289860	0.734926	guess_face	0.734926
357.343260	1.010770	outcome_stranger_punish	n/a
362.358670	1.249812	guess_computer	1.249812
366.562600	1.017170	outcome_computer_reward	n/a
368.777250	0.731418	guess_face	0.731418
372.979920	1.004300	outcome_stranger_reward	n/a
376.180660	0.827833	guess_face	0.827833
381.233920	1.003540	outcome_stranger_reward	n/a
385.436130	0.522758	guess_face	0.522758
389.638640	1.004490	outcome_stranger_punish	n/a
391.845520	0.829798	guess_face	0.829798
396.899170	1.005490	outcome_stranger_reward	n/a
398.909270	0.632737	guess_computer	0.632737
403.111660	1.019780	outcome_computer_neutral	n/a
408.327900	0.630619	guess_face	0.630619
411.680820	1.005460	outcome_stranger_punish	n/a
414.692140	0.633128	guess_computer	0.633128
418.894620	1.004820	outcome_computer_reward	n/a
420.902800	0.623749	guess_computer	0.623749
425.105500	1.004820	outcome_computer_reward	n/a
