onset	duration	trial_type	response_time
8.3888	0.7497	cue_reward	n/a
8.3888	2.2497	anticipation_reward	n/a
9.1388	1.5	isi_reward	n/a
10.6389	0.2633	target	n/a
11.1776	0.9774	feedback_negative_reward	n/a
17.1558	0.7492	cue_neutral	n/a
17.1558	2.7497	anticipation_neutral	n/a
17.9051	2.0005	isi_neutral	n/a
19.9057	0.3633	target	0.3499
20.4386	0.9833	feedback_positive_neutral	n/a
28.923	0.7488	cue_reward	n/a
28.923	2.7495	anticipation_reward	n/a
29.6721	2.0007	isi_reward	n/a
31.6728	0.3133	target	0.2995
32.2039	0.985	feedback_positive_reward	n/a
35.6892	0.7492	cue_neutral	n/a
35.6892	2.7499	anticipation_neutral	n/a
36.4386	2.0007	isi_neutral	n/a
38.4394	0.3133	target	0.2997
38.9683	0.9877	feedback_positive_neutral	n/a
42.4563	0.7488	cue_neutral	n/a
42.4563	2.2493	anticipation_neutral	n/a
43.2054	1.5004	isi_neutral	n/a
44.7059	0.2633	target	0.2502
45.2285	0.9943	feedback_positive_neutral	n/a
48.2233	0.7487	cue_reward	n/a
48.2233	2.7489	anticipation_reward	n/a
48.9723	2.0002	isi_reward	n/a
50.9725	0.2633	target	0.2503
51.4801	0.9925	feedback_positive_reward	n/a
54.973	0.749	cue_neutral	n/a
54.973	2.2492	anticipation_neutral	n/a
55.7222	1.5002	isi_neutral	n/a
57.2225	0.2133	target	0.2003
57.7303	0.9925	feedback_positive_neutral	n/a
63.7228	0.7496	cue_neutral	n/a
63.7228	3.7497	anticipation_neutral	n/a
64.4727	3.0001	isi_neutral	n/a
67.4729	0.2133	target	0.2002
67.9953	0.9942	feedback_positive_neutral	n/a
73.4901	0.7486	cue_reward	n/a
73.4901	2.2494	anticipation_reward	n/a
74.2389	1.5008	isi_reward	n/a
75.7398	0.1633	target	0.1507
76.2637	0.9927	feedback_positive_reward	n/a
79.257	0.749	cue_neutral	n/a
79.257	2.7491	anticipation_neutral	n/a
80.0062	2.0001	isi_neutral	n/a
82.0064	0.1633	target	n/a
82.5357	0.9872	feedback_negative_neutral	n/a
86.0235	0.7491	cue_neutral	n/a
86.0235	2.7496	anticipation_neutral	n/a
86.7728	2.0006	isi_neutral	n/a
88.7734	0.2133	target	0.2
89.3027	0.9868	feedback_positive_neutral	n/a
92.7903	0.7491	cue_reward	n/a
92.7903	3.2495	anticipation_reward	n/a
93.5396	2.5004	isi_reward	n/a
96.0402	0.2133	target	0.2003
96.5745	0.982	feedback_positive_reward	n/a
100.5571	0.7486	cue_neutral	n/a
100.5571	2.749	anticipation_neutral	n/a
101.306	2.0004	isi_neutral	n/a
103.3064	0.18	target	n/a
103.819	0.9877	feedback_negative_neutral	n/a
110.3068	0.7494	cue_neutral	n/a
110.3068	2.7496	anticipation_neutral	n/a
111.0564	2.0002	isi_neutral	n/a
113.0567	0.2133	target	n/a
113.5695	0.9876	feedback_negative_neutral	n/a
117.0574	0.7485	cue_reward	n/a
117.0574	3.7491	anticipation_reward	n/a
117.8062	3.0006	isi_reward	n/a
120.8068	0.2467	target	0.2337
121.3402	0.9829	feedback_positive_reward	n/a
125.8237	0.7489	cue_reward	n/a
125.8237	3.7493	anticipation_reward	n/a
126.5728	3.0004	isi_reward	n/a
129.5733	0.2467	target	0.2336
130.086	0.9873	feedback_positive_reward	n/a
134.5739	0.749	cue_neutral	n/a
134.5739	2.2493	anticipation_neutral	n/a
135.3231	1.5002	isi_neutral	n/a
136.8235	0.23	target	n/a
137.3556	0.9844	feedback_negative_neutral	n/a
141.3405	0.7491	cue_reward	n/a
141.3405	2.7493	anticipation_reward	n/a
142.0899	2.0002	isi_reward	n/a
144.0901	0.2467	target	0.2336
144.6314	0.9753	feedback_positive_reward	n/a
148.1074	0.7489	cue_reward	n/a
148.1074	2.2493	anticipation_reward	n/a
148.8566	1.5004	isi_reward	n/a
150.357	0.2467	target	0.2335
